,MALO,SUCC,FUM,MAL,CIT,FRC,GLC,SOR,INO,SUC,AUC,CAT
ambient_2_5,0.047556254,0.081877125,0.224560253,0.09099351,0.005834733,0.157866157,0.376158639,0.862906296,0.027593381,0.209929296,0.252379389,0.220623912
ambient_2_6,0.028726788,0.016466755,0.117990656,0.079332033,0.004792665,0.098477385,0.34831888,0.608469861,0.023889351,0.154077747,0.456829326,0.264657487
ambient_2_35,0.032715189,0.040121688,0.257246491,0.073169139,0.011511406,0.034712967,0.177425804,0.384359837,0.022089114,0.122735058,0.275474637,0.323637906
ambient_2_36,0.019770688,0.033621147,0.140071479,0.098108918,0.008173747,0.024664956,0.099510132,0.63806925,0.019842545,0.11712311,0.413409967,0.392024491
ambient_2_45,0.025512577,0.009907642,0.106620466,0.049456709,0.005578019,0.060239022,0.217101413,0.729151989,0.029198124,0.200643674,0.367218894,0.406191472
ambient_2_46,0.02285432,0.010228462,0.043589017,0.033794309,0.001668776,0.05741571,0.268072456,0.598398149,0.021604341,0.181155101,0.190836564,0.60501556
ambient_4_7,0.035429638,0.041015966,0.37910987,0.064365966,0.011238502,0.044172347,0.255957893,0.395044711,0.028167412,0.113481045,0.22110388,0.26442872
ambient_4_8,0.046367474,0.025531856,0.29563668,0.058596822,0.005979363,0.040829039,0.252812964,0.509990886,0.019792787,0.121621592,0.265807522,0.257576858
ambient_4_33,0.043098907,0.030986753,0.316048755,0.080122646,0.005913956,0.080256283,0.439607583,0.791388255,0.022856124,0.142064333,0.208046941,0.289365954
ambient_4_34,0.031741805,0.028757371,0.251599821,0.059584705,0.011304459,0.07165713,0.222067395,0.498277571,0.033691257,0.182199329,0.230248005,0.395171645
ambient_4_47,0.017034939,0.02789033,0.251330657,0.043831024,0.008485701,0.062854432,0.183626245,0.386031163,0.030685952,0.200032875,0.169989351,0.162821452
ambient_4_48,0.023515156,0.013865687,0.121026626,0.054147823,0.003680014,0.048311864,0.281133933,0.89136435,0.032170086,0.216190808,0.335880259,0.804973019
